Date_of_Journey,Airline,Source,Destination,Product,Customer,Revenue
2021-09-23,FlyDubai,Chennai,Dubai,Business,First Flyer,308376.082435142
2021-09-24,FlyDubai,Chennai,Dubai,Business,First Flyer,323250.9658562615
2021-09-25,FlyDubai,Chennai,Dubai,Business,First Flyer,328001.08892121667
2021-09-26,FlyDubai,Chennai,Dubai,Business,First Flyer,346742.6646043749
2021-09-27,FlyDubai,Chennai,Dubai,Business,First Flyer,334871.18519447756
2021-09-28,FlyDubai,Chennai,Dubai,Business,First Flyer,345544.2235027927
2021-09-29,FlyDubai,Chennai,Dubai,Business,First Flyer,341503.74462295574
2021-09-30,FlyDubai,Chennai,Dubai,Business,First Flyer,308986.02946976287
2021-10-01,FlyDubai,Chennai,Dubai,Business,First Flyer,323860.9128910662
2021-10-02,FlyDubai,Chennai,Dubai,Business,First Flyer,328611.035956192
2021-10-03,FlyDubai,Chennai,Dubai,Business,First Flyer,347352.61163957487
2021-10-04,FlyDubai,Chennai,Dubai,Business,First Flyer,335481.1322296504
2021-10-05,FlyDubai,Chennai,Dubai,Business,First Flyer,346154.1705379411
2021-10-06,FlyDubai,Chennai,Dubai,Business,First Flyer,342113.6916580581
2021-10-07,FlyDubai,Chennai,Dubai,Business,First Flyer,309595.9765048644
2021-10-08,FlyDubai,Chennai,Dubai,Business,First Flyer,324470.85993067874
2021-10-09,FlyDubai,Chennai,Dubai,Business,First Flyer,329220.98300041835
2021-10-10,FlyDubai,Chennai,Dubai,Business,First Flyer,347962.55868828227
2021-10-11,FlyDubai,Chennai,Dubai,Business,First Flyer,336091.0792828891
2021-10-12,FlyDubai,Chennai,Dubai,Business,First Flyer,346764.1175956905
2021-10-13,FlyDubai,Chennai,Dubai,Business,First Flyer,342723.6387203867
2021-10-14,FlyDubai,Chennai,Dubai,Business,First Flyer,310205.9235717465
2021-10-15,FlyDubai,Chennai,Dubai,Business,First Flyer,325080.80699750653
2021-10-16,FlyDubai,Chennai,Dubai,Business,First Flyer,329830.9300672194
2021-10-17,FlyDubai,Chennai,Dubai,Business,First Flyer,348572.505755107
2021-10-18,FlyDubai,Chennai,Dubai,Business,First Flyer,336701.0263497034
2021-10-19,FlyDubai,Chennai,Dubai,Business,First Flyer,347374.0646625191
2021-10-20,FlyDubai,Chennai,Dubai,Business,First Flyer,343333.5857779139
2021-10-21,FlyDubai,Chennai,Dubai,Business,First Flyer,310815.8706200925
2021-10-22,FlyDubai,Chennai,Dubai,Business,First Flyer,325690.7540366587
2021-10-23,FlyDubai,Chennai,Dubai,Business,First Flyer,330440.87709716713
2021-10-24,FlyDubai,Chennai,Dubai,Business,First Flyer,349182.4527757756
2021-10-25,FlyDubai,Chennai,Dubai,Business,First Flyer,337310.9733611652
2021-10-26,FlyDubai,Chennai,Dubai,Business,First Flyer,347984.0116647342
2021-10-27,FlyDubai,Chennai,Dubai,Business,First Flyer,343943.53278014134
2021-10-28,FlyDubai,Chennai,Dubai,Business,First Flyer,311425.81762235524
2021-10-29,FlyDubai,Chennai,Dubai,Business,First Flyer,326300.70103895705
2021-10-30,FlyDubai,Chennai,Dubai,Business,First Flyer,331050.82409940066
2021-10-31,FlyDubai,Chennai,Dubai,Business,First Flyer,349792.3997780837
2021-11-01,FlyDubai,Chennai,Dubai,Business,First Flyer,337920.9203635156
2021-11-02,FlyDubai,Chennai,Dubai,Business,First Flyer,348593.9586670659
2021-11-03,FlyDubai,Chennai,Dubai,Business,First Flyer,344553.47978242114
2021-11-04,FlyDubai,Chennai,Dubai,Business,First Flyer,312035.7646246846
2021-11-05,FlyDubai,Chennai,Dubai,Business,First Flyer,326910.6480412427
2021-11-06,FlyDubai,Chennai,Dubai,Business,First Flyer,331660.77110169834
2021-11-07,FlyDubai,Chennai,Dubai,Business,First Flyer,350402.346780392
2021-11-08,FlyDubai,Chennai,Dubai,Business,First Flyer,338530.8673657608
2021-11-09,FlyDubai,Chennai,Dubai,Business,First Flyer,349203.9056693393
2021-11-10,FlyDubai,Chennai,Dubai,Business,First Flyer,345163.4267847847
2021-11-11,FlyDubai,Chennai,Dubai,Business,First Flyer,312645.71162698366
2021-11-12,FlyDubai,Chennai,Dubai,Business,First Flyer,327520.5950435539
2021-11-13,FlyDubai,Chennai,Dubai,Business,First Flyer,332270.718103983
2021-11-14,FlyDubai,Chennai,Dubai,Business,First Flyer,351012.2937826441
2021-11-15,FlyDubai,Chennai,Dubai,Business,First Flyer,339140.8143680436
2021-11-16,FlyDubai,Chennai,Dubai,Business,First Flyer,349813.8526716127
2021-11-17,FlyDubai,Chennai,Dubai,Business,First Flyer,345773.3737870646
2021-11-18,FlyDubai,Chennai,Dubai,Business,First Flyer,313255.65862921
2021-11-19,FlyDubai,Chennai,Dubai,Business,First Flyer,328130.5420458395
2021-11-20,FlyDubai,Chennai,Dubai,Business,First Flyer,332880.66510628077
2021-11-21,FlyDubai,Chennai,Dubai,Business,First Flyer,351622.2407849523
2021-11-22,FlyDubai,Chennai,Dubai,Business,First Flyer,339750.76137028885
2021-11-23,FlyDubai,Chennai,Dubai,Business,First Flyer,350423.79967388604
2021-11-24,FlyDubai,Chennai,Dubai,Business,First Flyer,346383.32078929193
2021-11-25,FlyDubai,Chennai,Dubai,Business,First Flyer,313865.6056315091
2021-11-26,FlyDubai,Chennai,Dubai,Business,First Flyer,328740.48904806963
2021-11-27,FlyDubai,Chennai,Dubai,Business,First Flyer,333490.61210857856
2021-11-28,FlyDubai,Chennai,Dubai,Business,First Flyer,352232.1877872241
2021-11-29,FlyDubai,Chennai,Dubai,Business,First Flyer,340360.70837263926
2021-11-30,FlyDubai,Chennai,Dubai,Business,First Flyer,351033.7466762177
2021-12-01,FlyDubai,Chennai,Dubai,Business,First Flyer,346993.2677917079
2021-12-02,FlyDubai,Chennai,Dubai,Business,First Flyer,314475.5526338081
2021-12-03,FlyDubai,Chennai,Dubai,Business,First Flyer,329350.43605036807
